,ndvi,ndsi,ndbi,albedo,awei,gemi,LST,ndvi_lag,ndsi_lag,ndbi_lag,albedo_lag,awei_lag,gemi_lag,LST_lag,community,period,year
45,0.10014846359119,0.043780157757606485,-0.13675711621014308,0.29549258778041987,0.7446649360088173,0.3233897108120835,284.6537510675536,0.07053362021059945,0.10059496780580718,-0.16206708717919074,0.42238270994205496,1.2126537604125645,-0.11445303622127476,281.1920322566863,46.0,1.0,2013.0
46,-0.0005298638881833535,0.2611549294432089,-0.25550329902612245,0.6391368226080939,2.1168202374500855,-1.2517924001039165,275.7688557214938,0.0350590318560409,0.1376475985743432,-0.15973042591527709,0.5237073477871391,1.5858196867863619,-0.4251335121165743,277.5390349297308,47.0,1.0,2013.0
47,0.014304797873994555,0.19607613477016958,-0.20933127456701772,0.6006184571664167,1.8537929777434772,-0.8057316052076418,276.3614035445818,0.04513720336264611,0.14581642837304917,-0.1831919009277037,0.48759445831953296,1.4655450295570633,-0.3663657140808363,279.39317553850424,48.0,1.0,2013.0
48,0.022848885551998547,0.1578795585296628,-0.16586070356542518,0.5898767270670217,1.8524847804871443,-0.768189488109951,275.3091961178345,0.0659407134850777,0.0967406907309333,-0.1530858361816963,0.45846179128076303,1.298950734296232,-0.14366589156076942,279.9046708381368,49.0,1.0,2013.0
49,0.04713309060002844,0.047782843481796344,-0.05949148795696664,0.4484060212802453,1.3424003881611366,-0.07345409826950478,277.02033901249496,0.049417497575691985,0.14340018348133315,-0.18279597528957764,0.49049832429142437,1.479253479286754,-0.3945818200302802,278.81683041767656,50.0,1.0,2013.0
50,0.08232110832901064,0.07633686606044121,-0.14797181798990852,0.3769181393715199,1.010712728099279,0.195498923939194,281.86202129388937,0.05919841051840426,0.11123034158276274,-0.16049471142461072,0.4352764680330601,1.2681674943884655,-0.16244467354511805,280.0895183305893,51.0,1.0,2013.0
51,0.09276533757186557,0.04749137669007225,-0.13681536566565783,0.2963189123582549,0.7504623303602659,0.31355420440721143,284.3858196835949,0.08333558649673103,0.07473819762083789,-0.14948176338985486,0.3611038646902892,0.9624710279976886,0.2098848080478887,282.208327702787,52.0,1.0,2013.0
52,0.08786628460616254,0.05701766565642487,-0.13889498297162922,0.452963028193727,1.1778463207570145,0.05400365015084596,280.65036907992703,0.09543692556968095,0.07158825232571153,-0.15582987154911043,0.4180395928796711,1.1563828041536763,-0.0422807481767159,281.3705293646566,53.0,1.0,2013.0
53,0.0930298603099421,0.07822937989201968,-0.16184808057685443,0.35606160811906207,0.936996171110507,0.24615568415355288,282.32724853748834,0.06154131133143854,0.08862290055455824,-0.13518706969068853,0.4558129565662884,1.303095927477909,-0.09627504457940546,278.99022725021285,54.0,1.0,2013.0
54,0.06753718756999247,0.10409756904446596,-0.16371635596951298,0.4109008669189279,1.1320354198849698,0.1107657893923886,280.1092107469181,0.08937210207027277,0.06735254088084437,-0.14887842141080693,0.3430995532829456,0.8993904098566838,0.2517362708333194,282.8583631716575,55.0,1.0,2013.0
