,ndvi,ndsi,ndbi,albedo,awei,gemi,LST,ndvi_lag,ndsi_lag,ndbi_lag,albedo_lag,awei_lag,gemi_lag,LST_lag,community,period,year
298,0.003612145861582389,0.09207111676455872,-0.09650852104930083,36701.30929032899,-67492.78213962946,-68889.48149355293,56614.646192125736,0.00269860995690868,0.10937994768006075,-0.1111805502568398,34901.38462857642,-56554.98041187834,-187567.1555759877,53857.97875717169,68.0,2.0,2017.0
299,0.009611880854980506,0.07191657663907704,-0.07943658119690646,30397.350177176944,-62613.635774592585,-332233.61105353764,55483.472022837195,0.0036206966935424714,0.10878315324270108,-0.1117166460882463,34501.20942676344,-56478.09260711547,-194555.93064196972,55796.56459163379,69.0,2.0,2017.0
300,-0.007543709778739035,0.16771721149255533,-0.15905562797081044,40357.35089421087,-41973.75263063709,-352534.78423021076,55864.42808981298,-0.00675865259191459,0.17242074784033545,-0.16468070411520322,40619.6276192356,-39991.51994524435,-364404.36482330604,56308.07915369669,70.0,2.0,2017.0
301,-0.0019241062645212437,0.14007396819957527,-0.13604832111235862,35629.830445153464,-46882.00417281448,-18051.352570842646,56449.01826404258,-0.0031455462071212975,0.15529742021916548,-0.15163712850029104,39504.76240368525,-45208.717935911875,-259205.77281619617,56053.0472015682,71.0,2.0,2017.0
302,-0.007345144471509516,0.19139458854106126,-0.18345733236772038,42526.251408906646,-34670.80456132693,-372914.2922124989,56855.59879954681,-0.005353033859252448,0.1759529782462534,-0.16969553031434262,40327.422109820225,-38187.20584969093,-355771.45320560795,56435.773469633554,72.0,2.0,2017.0
303,-0.008812376618193713,0.21484957724643008,-0.20561675155427878,43242.37205167443,-25922.18588807783,-554233.674167283,56333.41684521139,-0.002528575672342765,0.16129918942886343,-0.1577398166220758,39040.807279139146,-42903.17930331291,-117081.59512114088,56640.32979726941,73.0,2.0,2017.0
304,-0.01057341643035552,0.23259156918839802,-0.22180203360255663,44173.08115009117,-19471.16991661322,-829429.1349241313,56351.729097495016,-0.0026283523379811206,0.15796357682268466,-0.1547061248497145,40380.3637084389,-45678.86060081946,-198761.3061740354,57017.936925576316,74.0,2.0,2017.0
305,0.002088439795547275,0.12453256510430807,-0.1259549173317086,38234.47600797115,-56686.916640312,-24608.32013557187,57180.27505160583,0.0032185962627943867,0.17832095715870033,-0.18009266726989037,38722.59037245986,-33082.85880222591,-1354950.378352813,56874.588864124955,75.0,2.0,2017.0
306,0.29134613317730323,-0.12994734668593846,-0.1487965623475471,12079.373666354195,-62869.6421654448,-91266454.78681765,44872.149098209666,0.18541063508800376,-0.11743186020319779,-0.06844225660223863,12813.330613168495,-64350.797099034,-35198934.09277692,53846.011941622965,76.0,2.0,2017.0
307,0.13298173511311295,-0.10767194613970085,-0.028068128618513568,14810.909130963293,-71847.80344620314,-22128033.486604314,55787.86457793799,0.18309520973496346,-0.12588099857893612,-0.05216514853797635,12152.245069024437,-63240.245319929556,-32063049.17745384,53377.90454432278,77.0,2.0,2017.0
